image_id,scene,surface,lighting,obstacle,drivable,confidence,annotator,remark
IMG_0001,indoor,flat,bright,none,yes,0.95,张三,正常
IMG_0002,outdoor,uneven,bright,person,yes,0.88,张三,正常
IMG_0003,tunnel,flat,dim,none,yes,0.92,李四,正常
IMG_0004,night,flat,dark,none,partial,0.76,张三,夜间弱光场景
IMG_0005,indoor,stairs,bright,none,yes,0.91,李四,正常
IMG_0006,outdoor,gravel,bright,none,yes,0.85,张三,正常
IMG_0007,night,flat,bright,none,yes,0.65,张三,冲突：夜间不应bright
IMG_0008,indoor,flat,bright,none,yes,0.94,张三,正常
IMG_0009,outdoor,slope,bright,none,yes,0.87,李四,正常
IMG_0010,night,flat,dark,person,no,0.72,张三,夜间有人
IMG_0011,indoor,flat,bright,none,yes,0.96,张三,正常
IMG_0012,outdoor,flat,bright,none,yes,,张三,缺失confidence
IMG_0013,tunnel,flat,,,,,李四,大量缺失
IMG_0014,indoor,flat,bright,none,yes,0.93,张三,正常
IMG_0015,outdoor,uneven,bright,none,yes,0.89,李四,正常
IMG_0016,night,flat,dark,none,partial,0.71,张三,夜间场景
IMG_0017,indoor,flat,bright,none,yes,0.97,张三,正常
IMG_0018,indoor,flat,bright,none,yes,0.97,张三,疑似复制上一行
IMG_0019,indoor,flat,bright,none,yes,0.97,张三,疑似复制-连续相同
IMG_0020,indoor,flat,bright,none,yes,0.97,张三,连续4条相同-标注员可能批量操作
IMG_0021,indoor,flat,,,,,张三,缺失字段
IMG_0022,outdoor,flat,bright,none,yes,1.50,张三,confidence超范围
IMG_0023,tunnel,flat,bright,none,yes,0.88,李四,隧道强光-可能出口处
IMG_0024,stairs,,,none,yes,0.91,??,??????-???
IMG_0025,indoor,flat,bright,none,yes,0.94,张三,正常
IMG_0026,unknown,flat,bright,none,yes,0.82,李四,非法场景标签
IMG_0027,outdoor,flat,backlight,none,yes,0.83,张三,逆光场景
IMG_0028,night,flat,abc,none,yes,0.68,张三,非法光照标签
IMG_0029,indoor,flat,bright,none,yes,not_a_number,张三,confidence非数值
IMG_0030,outdoor,flat,bright,none,yes,0.90,张三,正常
